DATE,GDPA,GPDIA,GCEA,EXPGSA,IMPGSA
1929-01-01,104.556,17.17,9.622,5.939,5.556
1930-01-01,92.16,11.427999999999999,10.273,4.444,4.121
1931-01-01,77.391,6.5489999999999995,10.169,2.906,2.905
1932-01-01,59.522,1.819,8.946,1.975,1.932
1933-01-01,57.153999999999996,2.276,8.875,1.9869999999999999,1.929
1934-01-01,66.8,4.296,10.720999999999998,2.5610000000000004,2.239
1935-01-01,74.241,7.37,11.151,2.7689999999999997,2.9819999999999998
1936-01-01,84.83,9.391,13.398,3.0069999999999997,3.154
1937-01-01,93.00299999999999,12.967,13.119000000000002,4.039,3.9610000000000003
1938-01-01,87.352,7.944,14.17,3.8110000000000004,2.845
1939-01-01,93.43700000000001,10.229,15.165,3.969,3.136
1940-01-01,102.899,14.579,15.562000000000001,4.897,3.426
1941-01-01,129.309,19.369,27.836,5.482,4.449
1942-01-01,165.952,11.762,65.44,4.375,4.627
1943-01-01,203.084,7.405,98.023,4.034,6.28
1944-01-01,224.447,9.18,108.64299999999999,4.88,6.904
1945-01-01,228.007,12.4,96.396,6.781000000000001,7.547000000000001
1946-01-01,227.535,33.128,43.027,14.155999999999999,6.974
1947-01-01,249.61599999999999,37.131,39.827,18.74,7.933
1948-01-01,274.468,50.347,43.755,15.547,10.06
1949-01-01,272.475,39.099000000000004,49.808,14.484000000000002,9.249
1950-01-01,299.827,56.53,50.515,12.35,11.612
1951-01-01,346.914,62.75899999999999,73.304,17.099,14.585999999999999
1952-01-01,367.341,57.273999999999994,89.583,16.459,15.295
1953-01-01,389.218,60.413999999999994,96.765,15.312999999999999,16.014
1954-01-01,390.54900000000004,58.07,92.46700000000001,15.835999999999999,15.432
1955-01-01,425.478,73.75399999999999,92.958,17.677,17.199
1956-01-01,449.353,77.685,98.18,21.284000000000002,18.923
1957-01-01,474.039,76.505,107.163,24.017,19.942
1958-01-01,481.22900000000004,70.947,114.13799999999999,20.56,20.022000000000002
1959-01-01,521.654,85.669,118.458,22.725,22.328000000000003
1960-01-01,542.382,86.477,120.52,27.045,22.840999999999998
1961-01-01,562.21,86.584,129.237,27.601999999999997,22.688000000000002
1962-01-01,603.9209999999999,96.977,140.287,29.065,24.965
1963-01-01,637.451,103.28399999999999,147.19299999999998,31.074,26.135
1964-01-01,684.46,112.15,154.763,35.019,28.104
1965-01-01,742.289,129.645,164.053,37.146,31.529
1966-01-01,813.414,144.188,185.44400000000002,40.92,37.056999999999995
1967-01-01,859.9580000000001,142.7,207.018,43.467,39.912
1968-01-01,940.6510000000001,156.923,225.52599999999998,47.906000000000006,46.556000000000004
1969-01-01,1017.615,173.562,238.984,51.922,50.49100000000001
1970-01-01,1073.303,170.049,252.581,59.708999999999996,55.76
1971-01-01,1164.85,196.824,267.468,62.963,62.342
1972-01-01,1279.11,228.14,286.189,70.843,74.21600000000001
1973-01-01,1425.376,266.925,304.765,95.27,91.15899999999999
1974-01-01,1545.243,274.526,341.37,126.65,127.465
1975-01-01,1684.904,257.253,381.12800000000004,138.70600000000002,122.73
1976-01-01,1873.412,323.224,404.153,149.515,151.14600000000002
1977-01-01,2081.826,396.61300000000006,434.33099999999996,159.349,182.44299999999998
1978-01-01,2351.599,478.37699999999995,476.336,186.88299999999998,212.25
1979-01-01,2627.3340000000003,539.6569999999999,524.802,230.13,252.674
1980-01-01,2857.3070000000002,530.0980000000001,589.5980000000001,280.772,293.828
1981-01-01,3207.042,631.229,654.381,305.23900000000003,317.758
1982-01-01,3343.789,581.034,711.4730000000001,283.21,303.184
1983-01-01,3634.038,637.518,766.557,276.996,328.63800000000003
1984-01-01,4037.613,820.0889999999999,827.91,302.381,405.10699999999997
1985-01-01,4338.979,829.65,910.5160000000001,303.211,417.22900000000004
1986-01-01,4579.630999999999,849.1460000000001,976.076,320.998,452.86699999999996
1987-01-01,4855.215,892.176,1031.53,363.94300000000004,508.713
1988-01-01,5236.438,936.9630000000001,1078.855,444.601,553.993
1989-01-01,5641.58,999.701,1151.862,504.289,591.031
1990-01-01,5963.144,993.448,1238.556,551.873,629.727
1991-01-01,6158.129,944.3439999999999,1298.951,594.931,623.544
1992-01-01,6520.326999999999,1013.0060000000001,1344.5,633.053,667.791
1993-01-01,6858.559,1106.826,1364.922,654.799,719.9730000000001
1994-01-01,7287.236,1256.484,1402.274,720.937,813.424
1995-01-01,7639.749,1317.489,1449.431,812.81,902.572
1996-01-01,8073.121999999999,1432.055,1492.848,867.5889999999999,963.966
1997-01-01,8577.552,1595.6,1547.1329999999998,953.803,1055.774
1998-01-01,9062.817,1736.671,1611.609,952.9789999999999,1115.69
1999-01-01,9630.663,1887.059,1720.36,992.778,1248.612
2000-01-01,10252.347,2038.408,1826.845,1096.255,1471.305
2001-01-01,10581.822,1934.842,1949.275,1024.636,1392.565
2002-01-01,10936.418,1930.4170000000001,2088.717,998.7410000000001,1424.1429999999998
2003-01-01,11458.246000000001,2027.056,2211.208,1036.177,1539.3039999999999
2004-01-01,12213.73,2281.2529999999997,2338.889,1177.631,1796.7060000000001
2005-01-01,13036.636999999999,2534.72,2475.992,1305.225,2026.418
2006-01-01,13814.608999999999,2700.954,2624.2340000000004,1472.6129999999998,2243.538
2007-01-01,14451.86,2673.011,2790.844,1660.8529999999998,2379.28
2008-01-01,14712.845,2477.613,2981.99,1837.055,2560.143
2009-01-01,14448.931999999999,1929.664,3073.512,1581.996,1978.4470000000001
2010-01-01,14992.052,2165.473,3154.647,1846.28,2360.183
2011-01-01,15542.582,2332.562,3148.3720000000003,2102.995,2682.4559999999997
2012-01-01,16197.007,2621.7540000000004,3137.01,2191.28,2759.8509999999997
2013-01-01,16784.851000000002,2826.013,3132.409,2273.428,2764.21
2014-01-01,17521.747,3038.9309999999996,3167.0409999999997,2371.027,2879.284
2015-01-01,18219.297,3211.9709999999995,3234.21,2265.047,2786.461
2016-01-01,18707.189,3169.887,3290.9790000000003,2217.576,2738.1459999999997
2017-01-01,19485.394,3367.965,3374.4440000000004,2350.175,2928.5959999999995
