,value,value
series,broadband,gdppc
country,,
Australia,31.796,50588.149489999996
Austria,28.543000000000003,52467.527
Belgium,38.588,47941.66117
Canada,37.847,46704.89203
Chile,16.515,24012.91487
Colombia,12.821,14485.305859999999
Czech Republic,29.636,36350.10463
Denmark,42.923,51495.56007
Estonia,29.824,31739.11999
Finland,31.035999999999998,44955.583119999996
France,42.843,42858.454939999996
Germany,40.194,50878.152369999996
Greece,35.397,27699.52873
Hungary,30.218000000000004,28099.30795
Iceland,39.357,52825.17658
Ireland,29.180999999999997,75304.04927999999
Israel,27.558000000000003,38276.61545
Italy,27.414,39433.01683
Japan,30.959,43298.72775
Korea,41.2,38350.32339
Latvia,27.142,27631.75515
Lithuania,28.302,32154.469960000002
Luxembourg,35.897,104174.8913
Mexico ,13.87,19092.565169999998
Netherlands,42.126000000000005,52799.14951
New Zealand,33.672,40886.41537
Norway,40.863,61576.32491
Poland,18.363,28686.235419999997
Portugal,34.688,31652.484310000003
Slovak Republic,25.83,31625.20667
Slovenia,28.918000000000003,34886.0808
Spain ,31.094,38016.58624
Sweden,38.381,50178.97603
Switzerland,46.77,64834.80052999999
Turkey,15.088,27077.719189999996
United Kingdom,39.383,43321.160189999995
United States,33.723,59534.61896
