"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"United States",0,,1200,1245,1200,1250,1200,1200,1044,1095,1100,1100,1100,1147,1275,1350,1350,1350.5,1350,1375,1300,1150,1100,1150,1150,1150,1200,1250,1320,1284,1266,1222,1249,1200,1215,1233,1150,1250,1294,1300,1315,1325,1400,1409,1550,1625,1550,1625,1600,1600,1600,1615,1700,1700,1500,1500,1500,1475,1465,1425,1450,1485,1500,1500,1515,1500,1500,1500,1495,1490,1419,1449,1459,1500,1500,1495,1495,1475,1500,1485,1450,1514,1522,1424,1450,1400,1407,1430,1415,1410,1402,1416,1400,1400,1400,1400,1400,1405,1425,1434,1450,1450,1460,1460
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2195,2195,2250,2250,2250,2300,2350,2395,2400,2400,2400,2430,2450,2495,2500,2500,2495,2550,2500,2550,2600,2600,2540,2570,2600,2645,2550,2550,2500,2549,2550,2550,2595,2570,2195,2108,2150,2150,2150,2100,2100,2100,2125,2200,2250,2200,2100,2175,2150,2100,2100,2100,2100,2100,2100,2150,2199,2200,2200,2200,2280,2400,2300,2050,2100,2100,2100,2150,2150,2175,2195,2195,2175,2100,2095,2050,2050,2085,2100,2135,2150,2192,2155,2153
"Los Angeles, CA",2,,1380,1425,1420,1437.5,1550,1600,1388,1325,1350,1355,1295,1300,1310,1300,1350,1347.5,1300,1300,1275,1250,1235,1213,1250,1295,1325,1325,1333.5,1343,1342.5,1349,1386,1380,1390,1350,1355,1415,1450,1425,1440,1430,1399,1395,1395,1445,1350,1495,1490,1450,1425,1472,1540,1540,1555,1595,1625,1675,1685,1695,1695,1710,1702,1700,1720,1725,1735,1750,1750,1755,1800,1795,1829,1850.5,1880,1860,1855,1850,1881,1805,1850,1800,1819,1800,1870,1915,1950,1950,1950,1970,1974,1970,1959,1972.5,1961,1947,1930,1950,1960,1950,1995,2026,2050,2095
"Chicago, IL",3,,1050,1100,1050,1075,995,950,1090,1225,1252.5,1257.5,1125,1200,1199,1228,1250,1339,1295,1250,1290,1275,1250,1295,1299,1228.5,1180,1145,1195,1255,1250,1250,1300,1382,1325,1375,1350,1495,1395,1449,1470,1500,1515,1526,1500,1480,1520,1599,1564,1470,1440,1400,1395,1427.5,1575,1395,1610,1638,1608,1350,1495,1598,1395,1395,1402.5,1395,1361,1360,1525,1613,1700,1625,1563.5,1650,1497,1450.5,1443,1420,1395,1395,1395,1395,1426,1450,1395,1400,1402,1400,1425,1425,1420,1440,1489,1500,1525,1495,1477,1495,1495,1495,1495,1495,1500,1500
"Dallas, TX",4,,,,,,,,1000,1129,1100,1072,965,877,875,850,850,868,870,760,760,705,689,721,744,777,807,775,795,796,790,787,800,802,810,835,945,835,850,855,866,880,895,850,964,1022,1057,1050,1029,999,1000,1020,973.5,995,941.5,925,925,939,1003,1010,1000,980,950,989,990,999,999,1011,1036,1030,1060,1060,1068,1079,1109,1090,1098,1090,1089,1085,1149,1085,1095,1050,1139,1144,1165,1170,1179,1200,1200,1210,1187,1185,1217,1205,1200,1242,1235,1235,1252,1255,1267,1266
"Philadelphia, PA",5,,,,,,,995,899,895,900,899,975,966,950,999,975,995,950,925,950,915,925,920,925,952.5,975,1000,990,980,975,995,975,980,995,950,920.5,950,965,975,1046,1000,975,950,950,950,990,975,925,945,950,975,1100,1095,1095,1075,1000,1021,1000,995,997,1002,1050,1105.5,1100,1095,1060,1095,1050,1045,1100,1064,1100,1100,1140,1167,1195,1157,1175,1150,1160,1185,1125,1182.5,1150,1195,1245,1250,1295,1275,1292,1285,1252,1225,1246,1235,1240,1250,1300,1325,1350,1340,1350,1343.5
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,979,1093,1005,995,1020,1050,1065,1057,1050,1063.5,1084,1025,1030,1030,1038,1058,1091,1100,1110,1110,1100,1120,1125,1249,1225,1248,1180,1200,1182,1175,1145,1124,1104,1119,1079,1015,1067,1095,1125,1147,1156.5,1165,1150,1144.5,1150,1174.5,1185,1190,1199,1199,1225,1235,1229,1220,1225,1225,1220
"Washington, DC",7,,1300,1400,1400,1400,1400,1392,1445,1450,1450,1473,1495,1405,1400,1495,1495,1500,1550,1825,1850,1817.5,1625,1650,1678,1700,1753.5,1755,1777.5,1800,1795,1720,1725,1718,1724,1725,1735,1725,1745,1700,1620,1650,1629,1700,1700,1695,1675,1650,1662,1650,1639.5,1650,1699,1719,1796.5,1815,1725,1700,1699,1700,1700,1745,1745,1750,1750,1750,1735,1747,1745,1727,1699,1699,1701,1730,1735,1740,1705,1737,1735,1690,1675,1650,1651,1650,1729,1750,1785,1772,1779,1795,1790,1820,1775,1790,1777,1760,1770,1759,1778,1779,1795,1800,1799,1825
"Miami, FL",8,1300,1300,1300,1275,1300,1200,1200,1350,1350,1300,1300,1300,1300,1300,1300,1295,1275,1250,1250,1250,1200,1250,1250,1250,1250,1250,1215,1200,1250,1250,1243,1200,1175,1175,1185,1185,1200,1200,1215,1250,1300,1450,1425,1400,1425,1450,1450,1400,1375,1325,1300,1350,1375,1380,1395,1400,1400,1425,1400,1450,1500,1500,1500,1590,1650,1600,1650,1600,1600,1650,1613,1650,1650,1675,1605,1600,1595,1500,1530,1590,1582,1600,1500,1550,1550,1550,1550,1587.5,1590,1570,1600,1600,1600,1600,1600,1600,1610,1625.5,1650,1650,1650,1650,1650
"Atlanta, GA",9,999.5,975,1000,1000,1075,1025,972.5,950,1000,995,959,900,972,950,945,900,892.5,875,897.5,900,825,820,841.5,800,840,799,797,830,833,840,865,840,845,822.5,813,802,795,795,799,825,818,835,840,899,975,940,996.5,1033,1005,1013.5,1023.5,1015,1045,1050,1025,1051,1029,1030,1031,1060,1089.5,1078,1090,1119,1140,1140,1155,1141.5,1132,1169,1169.5,1175,1175,1200,1200,1095,1165,1151,1171,1201,1134,1139,1115,1205,1200,1228.5,1233,1255,1250,1250,1265,1259,1251,1250,1260,1270,1270,1275,1279,1299,1290,1328,1350
