"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"United States",0,1300,1500,1500,1500,1500,1500,1500,1500,1450,1450,1450,1475,1375,1350,1390,1400,1400,1395,1382,1375,1325,1295,1300,1300,1300,1300,1353,1395,1395,1400,1400,1400,1390,1355,1360,1390,1363,1420,1450,1475,1450,1400,1450,1450,1490,1500,1500,1550,1500,1500,1500,1550,1600,1600,1500,1475,1495,1450,1400,1400,1450,1450,1495,1500,1500,1500,1500,1500,1495,1462,1450,1450,1475,1495,1500,1500,1500,1500,1500,1500,1500,1500,1550,1450,1470,1450,1495,1500,1500,1508,1509,1500,1500,1500,1495,1500,1495,1500,1500,1520,1550,1550,1550,1550
"New York, NY",1,,2000,2000,2100,2000,2125,2000,1950,1975,2000,1950,2100,2000,1895,1950,2000,2000,2000,2100,2150,2100,2000,2000,2000,2000,2000,2050,2100,2140,2150,2150,2175,2150,2150,2150,2199,2150,2175,2150,2175,2200,2200,2200,2200,2249,2250,2250,2260,2250,2250,2250,2250,2300,2300,2250,2200,2200,2239,2200,2200,2275,2290,2300,2350,2390,2395,2350,2400,2395,2350,2300,2300,2300,2300,2300,2350,2300,2300,2300,2295,2300,2300,2310,2150,2200,2300,2321,2350,2400,2400,2400,2395,2400,2310.5,2300,2300,2300,2300,2300,2350,2400,2400,2400,2400
"Los Angeles, CA",2,,,,,,,,,,,,,,1500,1445,1362.5,1395,1310,1395,1375,1275,1095,947.5,925,975,1010,1075,1070,1111,1065,1075,1095,1145,1119.5,1140,1100,1075,1143,1175,1180,1200.5,1199,1140,1175,1150,1180,999,1150,1125,1123.5,1098,1115,1200,1250.5,1295,1300,1300,1350,1358,1375.5,1370.5,1395,1399,1428,1395,1491,1495,1499.5,1525,1550,1500,1500,1615,1650,1662,1650,1690,1650,1762,1568,1645,1575,1595,1532.5,1550,1765,1849,1795,1750,1825,1885,1888.5,1890,1850,1800,1815,1795,1807,1805,1829,1850,1810,1835,1877
"Chicago, IL",3,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1550,1600,1500,1450,1395,1395,1400,1395,1360,1366.5,1377,1350,1300,1300,1295,1250,1268.5,1311,1341,1325,1357,1400,1400,1390,1395,1390,1395,1418,1403,1400,1450,1450,1455,1499,1500,1499,1450,1476,1490,1465.5,1450,1450,1500,1525,1575,1500,1585,1576,1500,1500,1525,1600,1550,1510,1544,1550,1550,1535,1550,1550,1550,1531,1515,1550,1500,1500,1500,1495,1485,1462,1475,1500,1500,1495,1500,1500,1495,1500,1500,1500,1520,1549,1550,1550,1532.5,1500,1500,1500,1500,1492,1500,1500,1510,1525
"Dallas, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.5,975,920,922.5,905,952,975,920.5,920,950,970,900,944,995,1100,1195,1195,1175,1150,1100,1103.5,1100,1100,1150,1225,1242.5,1250,1200,1200,1225,1225,1225,1210,1250,1299,1295,1350,1334,1325,1259,1250,1200,1250,1225,1250,1300,1295,1350,1250,1295,1350,1250,1350,1300,1295,1295,1350,1350,1325,1300,1300,1295,1347.5,1350,1315,1300,1300,1342.5,1330,1325,1300,1325,1350,1355,1350
"Philadelphia, PA",5,,1500,1500,1500,1500,1500,1550,1550,1500,1500,1500,1500,1400,1400,1400,1450,1450,1450,1500,1500,1495,1450,1400,1395,1318.5,1350,1350,1325,1350,1300,1350,1375,1350,1350,1310,1300,1250,1295,1300,1302.5,1300,1250,1295,1300,1350,1350,1295,1300,1300,1293,1300,1295,1375,1350,1400,1390,1382,1399.5,1375,1300,1350,1350,1350,1400,1400,1400,1375,1400,1377.5,1350,1375,1366.5,1395,1398,1400,1400,1385,1400,1350,1400,1375,1400,1400,1395,1350,1352.5,1375,1375,1386,1360,1375,1395,1395,1400,1400,1400,1400,1400,1425,1400,1400,1400,1440,1450
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1168.5,1152.5,1229,1208.5,1229,1250,1350,1400,1350,1450,1499.5,1499,1479,1500,1600,1638,1642,1600,1600,1595,1580,1595,1589,1575,1595,1600,1625,1675,1675,1650,1649,1600,1600,1600,1600,1600,1600,1620,1600,1600,1600,1595,1600,1560,1595,1500,1500,1500,1525,1575,1565,1585,1595,1600,1600,1575,1575,1575,1550,1550,1600,1625,1645,1650,1650,1645
"Washington, DC",7,,1650,1690,1700,1700,1800,1877.5,1850,1800,1825,1800,1800,1800,1800,1800,1800,1850,1900,1900,1875,1890,1850,1800,1800,1796,1750,1770,1800,1800,1800,1808,1800,1795,1795,1790,1765,1765,1785,1800,1795,1785,1800,1806,1850,1850,1850,1800,1800,1795,1750,1750,1750,1800,1850,1830,1850,1850,1800,1800,1813.5,1842.5,1800,1830,1800,1810,1850,1850,1868.5,1850,1850,1800,1825,1800,1820,1835,1845.5,1850,1850,1850,1875,1810,1800,1802,1800,1825,1800,1849,1845,1875,1875,1900,1900,1875,1850,1840,1825,1840,1800,1800,1820,1850,1861,1895,1895
"Miami, FL",8,,,,,,,,2100,1800,1600,1695,1800,1900,1900,1900,1900,1950,1950,1950,1950,1900,1875,1800,1800,1750,1750,1800,1650,1650,1650,1600,1650,1600,1650,1650,1677,1700,1700,1750,1700,1700,1750,1800,1800,1850,1850,1799,1850,1850,1850,1814,1800,1995,1995,1995,1900,1890,1895,1895,1850,1850,1850,1859,1900,1875,1850,1850,1900,1900,1900,1900,1900,1900,1900,1900,1950,1900,1900,1850,1850,1850,1900,1890,1800,1800,1850,1850,1900,1879,1900,1900,1950,1932,1900,1900,1889.5,1895,1850,1850,1875,1865,1900,1895,1885
"Atlanta, GA",9,,,,,,,,,,,,,,1150,1150,1200,1200,1200,1195,1195,1100,1100,1037.5,1025,1000,1000,1000,1000,1000,1069,1050,1031.5,1000,1000,1000,975,950,950,995,995,1000,1000,1000,1029,1050,1075,1050,1050,1050,1050,1050,1050,1095,1095,1100,1145,1129,1147.5,1122.5,1050,1025,1000,1000,1072,1050,1100,1125,1100,1100,1100,1139,1175,1150,1200,1250,1255,1275,1275,1257.5,1292.5,1274,1264,1270,1250,1250,1270,1295,1300,1332.5,1354,1350,1350,1315,1300,1306.5,1325,1350,1350,1362,1395,1400,1397.5,1400,1409
