Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
United States,USA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,17036.8851695882,17142.1937673897,17910.2787901684,18431.1584040472,19231.1718590603,20207.7495376936,21274.1354890107,21569.8356088859,22380.6067673191,22850.010833783,23309.6209459064,23775.2769229658,24760.1453772344,25908.9128017215,25540.5010030208,25239.919905729,26347.809281996,27286.2515144911,28500.2404573534,29082.5937779654,28734.3992597646,29191.9994879416,28362.4946163409,29406.2574686046,31268.9756446518,32306.8330567744,33133.6954441913,33975.6547953064,35083.9690428182,36033.3302026991,36312.4141825873,35803.8684213439,36566.1737698527,37078.04968394,38104.9724675631,38677.7150883663,39681.5198579033,40965.8466450522,42292.8912011426,43768.8849928326,45055.817918284,45047.4871976844,45428.6456781274,46304.0360895612,47614.2798621765,48755.6160606735,49575.401013591,49979.5338429195,49364.6445500336,47575.608562749,48375.4069462972,48786.4549755253,49498.3909155225,49971.9513571108,50871.6740833059,51933.4048064982,52319.1633505427,53128.5396999252
United States,USA,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,..,..,..,..,..,..,..,..,..,..,2951009527400,3063632267500,3251529432400,3412720708300,3384569419700,3461388457000,3654439514800,3808413144900,3975885743600,4070302487500,4057458772100,4117722551100,4176265045200,4414347226800,4647133405100,4891460009600,5096887078800,5269295322000,5489707522000,5649925168400,5766397089200,5779569346100,5993986172200,6202207978700,6442764386700,6635462099700,6867256961000,7125734636100,7506775972500,7904420649000,8305718214800,8521174846300,8740886252600,9014111699600,9360362708900,9689342316700,9984013024400,10207509570200,10172569203700,10009708994000,10202191000000,10433075256500,10585342239700,10740008937800,11048016579700,11450431105300,11763375001700,..
France,FRA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,9808.99110875504,10211.5671647626,10740.1233150073,11155.8338313018,11727.8374408916,12147.1050386999,12657.7486859831,13145.3068945469,13608.7873885465,14457.9848895072,15145.2063458326,15819.4396916138,16388.3721322373,17265.4022180314,17858.8980512678,17563.1973332731,18223.8667229003,18776.0818156125,19457.9430543164,20083.7250601726,20325.2017761513,20453.6891852138,20864.3412371356,21014.5158126916,21216.0620284806,21437.1074908753,21811.7229748552,22237.6901590953,23147.900809534,24011.8447128839,24572.1394433848,24807.7539146593,25079.5799176082,24818.1606867762,25305.8702997438,25740.363888965,26005.3974622237,26519.2522816408,27361.2910369219,28148.3333327272,29039.5438703058,29392.4127738075,29505.7966629284,29537.5066170095,30137.8189996172,30392.3851813546,30898.0123647426,31432.5921269931,31318.4623021838,30241.2907967176,30683.7689471934,31170.632575675,31076.8083369869,31095.4020551326,31239.8046208754,31441.8162764141,31688.4676776025,32140.5599588359
France,FRA,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,..,..,..,..,..,..,..,..,..,..,416931900500,440263005800,462505372000,488199021200,501637958300,511169838500,538572394300,552286961600,573806783200,593334192700,600526170100,612534783800,632407715400,637929177300,642238851100,654390201800,678511774900,701009099000,724510504300,747805187000,767138671100,772282126000,781271605500,781121977700,794437865600,808403453200,824183277500,829378905300,862768541100,892977602200,925781524000,949342977300,969049546500,983679599500,1003322183100,1028538401400,1051235557400,1077468654000,1082233117500,1084538566600,1104506000000,1109752816200,1107333177500,1112801482200,1121407048300,1137421158300,1162471014200,1175280924000
Japan,JPN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,755579.062724171,824799.123674607,889947.222620586,955586.124894587,1056105.57542447,1105621.70445588,1212125.77930987,1333956.54230062,1500796.68822857,1653525.06530465,1641461.0993694,1696610.21738176,1813769.63123204,1943308.74079516,1883203.67806957,1910587.71826246,1971894.67972794,2038725.84350843,2126873.27335289,2224691.71939587,2269511.36385487,2347633.79298926,2408996.62442486,2476928.46590111,2572070.23161859,2690179.17405221,2762783.64820647,2879285.77895668,3061556.21623482,3197171.89046509,3342171.64999231,3445679.77413513,3466286.23963326,3439832.99332241,3462177.55579101,3543560.51805101,3644172.53905389,3674619.48411988,3623295.76045491,3607573.75679178,3701653.91643291,3707750.37293884,3703503.57788379,3752063.96759501,3833494.60914911,3896866.97480297,3949698.88206392,4010423.1845509,3964647.21778578,3750374.12467922,3906878.26969626,3909603.81767853,3974398.36955394,4059749.83654047,4080373.33880857,4140005.62639904,4183667.23335389,4262321.00391576
Japan,JPN,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,..,..,..,..,..,..,..,..,..,..,96477831418300,101764953187600,110889469793200,120641386226600,120536914199900,125836920915200,129493597135000,134727456040400,141801761014600,151003858128000,152615858937000,156402409071900,163679579845300,169209529779400,174516250531700,181684018895300,188373755037900,196622173859500,206754164318000,216939548783400,227331369965100,232379667745700,237661652291400,240229793419000,245754212900400,251888591038100,257143124427600,258924935734700,257404664563600,260390405147200,264494503820900,269515752660000,272701494524100,274497986669200,278096099197500,281531415308900,284443550594700,287105206649900,284188848109400,282182802083600,288956400000000,287839851876200,293680009930100,300636112785600,298059223487300,297962792502900,298142783600000,..
Chile,CHL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2065558.48532228,2126091.231783,2163181.04878857,2239467.71560544,2246767.59906904,2219097.67539503,2415445.6205712,2449605.31724707,2484711.43884385,2530396.64108725,2526666.86394047,2713304.45370531,2637623.63895479,2461865.46559901,2478589.80790599,2123702.7332286,2170505.96485363,2360563.10223483,2504123.6656331,2674294.53787321,2844468.63528213,2984277.01519449,2615184.81454972,2445713.49315035,2506115.20380441,2564801.25521426,2658407.85764304,2782953.9927641,2937249.98189948,3174992.93174921,3227234.84841414,3423488.01345209,3746263.75773506,3932224.01937437,4068848.96828127,4368706.37228552,4601148.4651147,4876648.58384596,5021616.87971646,4938167.95566504,5137903.76187679,5244993.58795735,5346110.67000093,5502865.66839722,5835246.35540196,6104136.0556817,6421057.90228822,6665821.09459148,6830576.55841678,6656810.07400602,6977884.0710845,7335231.13802155,7655568.15725084,7895342.03081696,7966034.90765024,8081363.68101189,8116459.67291343,8171244.47189617
Chile,CHL,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,10386826077200,10983098812900,11431707593400,11913476473800,11841065643400,11829561118900,13164559672700,13610326158900,14130262991100,14874064334600,14787171338100,16733060141000,18024273828100,16839646176500,13762591923900,12190667839800,12221527034800,14178108278100,15245457453900,16234846557900,17358635577200,19682752540400,16779416607200,15817570688200,15916915640600,15760724802600,16567425747400,17764937330600,19013651693800,20942728823000,21401762966100,23300143588400,26513256784600,28482695232200,30811537381100,33836201554200,37027498621600,39845307482000,41781731728600,41366273132800,43077535451900,43960503465200,44901665233700,46931738972800,50816951294600,54732693794500,58815112473100,62976125463600,65591739091400,65026131132900,71982075773600,77884663588600,82597211566200,86376886549400,88684205321300,90565347861400,92587048852300,94846990209300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
